activity,a_mae,b_mae,delta_mae,a_rmse,b_rmse,delta_rmse,n_windows
sit,18.91223564147949,21.406662368774413,2.494426727294922,21.37876205444336,25.05850486755371,3.6797428131103516,972
walk,17.823818588256835,17.67088394165039,-0.15293464660644318,20.3860107421875,22.53608093261719,2.1500701904296875,962
run,15.882690048217773,17.913563537597657,2.030873489379884,21.75431022644043,24.360749816894533,2.6064395904541016,969
