model,mean_mae_bpm,sd_mae_bpm,mean_rmse_bpm,sd_rmse_bpm
A (single-site),17.540314865112304,1.0384105383437507,21.189903259277344,1.1099569886140703
B (two-site),19.002723693847656,0.41136207265180985,24.01768379211426,0.7808258121590937
Paired delta (B-A),1.4624088287353516,0.7875715821800415,2.827780532836914,0.9362792131460904
