subject,a_mae,b_mae,delta_mae,a_rmse,b_rmse,delta_rmse,n_windows
s14,21.667861938476562,22.961432266235352,1.2935703277587898,22.686714935302735,24.117909240722657,1.4311943054199219,725
s2,31.64147491455078,38.90664367675781,7.265168762207029,32.520633697509766,39.34719619750977,6.826562500000001,729
s20,6.546902847290039,5.1292119979858395,-1.4176908493041998,8.045666313171386,6.675120735168457,-1.370545578002929,728
s9,10.232390403747559,8.905494880676269,-1.3268955230712898,12.25208911895752,11.1589111328125,-1.0931779861450188,721
