seed,a_mae,b_mae,delta_mae,a_rmse,b_rmse,delta_rmse
seed42,17.041627883911133,19.042936325073242,2.0013084411621094,20.761709213256836,24.511428833007812,3.7497196197509766
seed43,17.744354248046875,18.844085693359375,1.0997314453125,21.614288330078125,23.38047981262207,1.7661914825439453
seed44,17.24323272705078,19.35668182373047,2.1134490966796875,21.253612518310547,24.890663146972656,3.6370506286621094
seed45,16.280893325805664,18.307771682739258,2.0268783569335938,19.458377838134766,22.825143814086914,3.3667659759521484
seed46,19.39146614074707,19.462142944335938,0.07067680358886719,22.861528396606445,24.480703353881836,1.6191749572753906
