Using FROZEN split (never recomputed): {"train": ["S1", "S10", "S11", "S12", "S15", "S3", "S4", "S6", "S7", "S8"], "val": ["S13", "S5"], "test": ["S14", "S2", "S9"]}
train windows: 42631 | val windows: 9214 | test windows: 12852
HR normalization (frozen, matches original): mean=86.344666 std=21.048254

=== seed 42: training model_a_ppg_only ===
  epoch 18/20 - train loss 0.2040 | val MAE 11.251 bpm
  epoch 19/20 - train loss 0.2028 | val MAE 11.592 bpm
  epoch 20/20 - train loss 0.2011 | val MAE 10.015 bpm
seed 43 model_a_ppg_only: held-out MAE 9.4689 bpm, RMSE 12.6061 bpm (150.1s)

=== seed 43: training model_b_ppg_plus_imu ===
  epoch  1/20 - train loss 0.2732 | val MAE 14.129 bpm
  epoch  2/20 - train loss 0.1678 | val MAE 13.339 bpm
  epoch  3/20 - train loss 0.1395 | val MAE 13.090 bpm
  epoch  4/20 - train loss 0.1246 | val MAE 14.475 bpm
  epoch  5/20 - train loss 0.1090 | val MAE 12.195 bpm
  epoch  6/20 - train loss 0.1020 | val MAE 12.981 bpm
  epoch  7/20 - train loss 0.0922 | val MAE 9.781 bpm
  epoch  8/20 - train loss 0.0897 | val MAE 12.924 bpm
  epoch  9/20 - train loss 0.0824 | val MAE 11.412 bpm
  epoch 10/20 - train loss 0.0777 | val MAE 11.036 bpm
  epoch 11/20 - train loss 0.0744 | val MAE 11.009 bpm
  epoch 12/20 - train loss 0.0712 | val MAE 10.870 bpm
  epoch 13/20 - train loss 0.0710 | val MAE 10.300 bpm
  epoch 14/20 - train loss 0.0694 | val MAE 10.297 bpm
  epoch 15/20 - train loss 0.0641 | val MAE 10.386 bpm
  epoch 16/20 - train loss 0.0641 | val MAE 9.790 bpm
  epoch 17/20 - train loss 0.0635 | val MAE 11.151 bpm
  epoch 18/20 - train loss 0.0581 | val MAE 11.594 bpm
  epoch 19/20 - train loss 0.0615 | val MAE 10.229 bpm
  epoch 20/20 - train loss 0.0607 | val MAE 10.025 bpm
seed 43 model_b_ppg_plus_imu: held-out MAE 7.1091 bpm, RMSE 10.6582 bpm (330.8s)

=== seed 43: training model_c_ppg_plus_shuffled_imu ===
  epoch  1/20 - train loss 0.3311 | val MAE 11.768 bpm
  epoch  2/20 - train loss 0.2316 | val MAE 10.987 bpm
  epoch  3/20 - train loss 0.2043 | val MAE 10.335 bpm
